centroid_accession,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_isolate,gene_product,sequence_length_bp,ncbi_definition_line,cluster_count,cluster_accessions_species,curator_notes
EF025456.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps clareae,Leyte 2*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps clareae haplotype Leyte 2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2,EF025455.1: Tropilaelaps clareae,none
EF025458.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps clareae,Luzon 2*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps clareae haplotype Luzon 2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",4,"EF025460.1: Tropilaelaps clareae, EF025461.1: Tropilaelaps clareae, EF025462.1: Tropilaelaps clareae",none
EF025463.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps clareae,Mindanao 1*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps clareae haplotype Mindanao 1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",6,"EF025453.1: Tropilaelaps clareae, EF025454.1: Tropilaelaps clareae, EF025457.1: Tropilaelaps clareae, EF025459.1: Tropilaelaps clareae, EF025465.1: Tropilaelaps clareae",none
EF025464.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps clareae,Mindoro 1*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps clareae haplotype Mindoro 1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",1,,none
EF025466.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps clareae,Sulawesi 1*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps clareae haplotype Sulawesi 1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",3,"EF025467.1: Tropilaelaps clareae, EF025468.1: Tropilaelaps clareae",none
EF025449.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps koenigerum,TkBorneo 1*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps koenigerum haplotype TkBorneo 1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",1,,none
EF025450.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps koenigerum,TkLombok 1*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps koenigerum haplotype TkLombok 1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2,EF025451.1: Tropilaelaps koenigerum,none
EF025427.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps mercedesae,Borneo 3*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps mercedesae haplotype Borneo 3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",4,"EF025425.1: Tropilaelaps mercedesae, EF025426.1: Tropilaelaps mercedesae, EF025428.1: Tropilaelaps mercedesae",none
EF025429.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps mercedesae,China 1*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps mercedesae haplotype China 1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",1,,none
EF025435.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps mercedesae,Java 2*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps mercedesae haplotype Java 2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2,EF025434.1: Tropilaelaps mercedesae,none
EF025436.1,Eukaryota,Metazoa,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Tropilaelaps,Tropilaelaps mercedesae,Lombok*,COI/cytochrome oxidase subunit I,538,"Tropilaelaps mercedesae haplotype Lombok &amp; Sumbawa cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",1,,none
