centroid_accession,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_isolate,gene_product,sequence_length_bp,ncbi_definition_line,cluster_count,cluster_accessions_species,curator_notes
HM534830.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium asteroides,Mbobb2t12,16S ribosomal RNA,1397,"Bifidobacterium asteroides strain Mbobb2t12 16S ribosomal RNA gene, partial sequence",5,"HM534858.1: Bifidobacterium sp. Amsbbt12, HM534859.1: Bifidobacterium sp. Amshmr9, JX099565.1: Bifidobacterium sp. Bin7N, JX099566.1: Bifidobacterium sp. H6bp3N",Isolate from honey bee gut.
JX099558.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium cf. coryneforme*,Bma6N,16S ribosomal RNA,1397,"Bifidobacterium sp. Bma6N 16S ribosomal RNA gene, partial sequence",8,"EF187237.1: Bifidobacterium coryneforme, EF187238.1: Bifidobacterium coryneforme, HM534836.1: Bifidobacterium coryneforme, HM534861.1: Bifidobacterium coryneforme, JX099557.1: Bifidobacterium sp. H1HS2N, KF600330.1: Bifidobacterium coryneforme, NR_115978.1: Bifidobacterium coryneforme",Isolated from honey stomach of A. mellifera.  99% ID (1367/1370) to type sequence B. coryneforme NR_115978.1.
HM534842.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium indicum,Adhmto23,16S ribosomal RNA,1397,"Bifidobacterium indicum strain Adhmto23 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee stomach.
HM534839.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium indicum,Alhm1to5,16S ribosomal RNA,1398,"Bifidobacterium indicum strain Alhm1to5 16S ribosomal RNA gene, partial sequence",6,"HM534837.1: Bifidobacterium indicum, HM534838.1: Bifidobacterium indicum, HM534840.1: Bifidobacterium indicum, HM534841.1: Bifidobacterium indicum, KM454402.1: Bifidobacterium coryneforme",Isolated from honey bee stomach.
AB697137.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp. AcjBF1,AcjBF1,16S ribosomal RNA,1414,"Bifidobacterium sp. AcjBF1 gene for 16S ribosomal RNA, partial sequence",1,,"Isolated from Apis cerana japonica, digestive tract."
AB697146.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp. AcjBF10,AcjBF10,16S ribosomal RNA,1405,"Bifidobacterium sp. AcjBF10 gene for 16S ribosomal RNA, partial sequence",5,"AB697143.1: Bifidobacterium sp. AcjBF7, AB697144.1: Bifidobacterium sp. AcjBF8, HM534818.1: Bifidobacterium sp. Afpor3, HM534819.1: Bifidobacterium sp. Thsr2","Isolated from Apis cerana japonica, digestive tract."
AB697139.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp. AcjBF3,AcjBF3,16S ribosomal RNA,1403,"Bifidobacterium sp. AcjBF3 gene for 16S ribosomal RNA, partial sequence",4,"AB697141.1: Bifidobacterium sp. AcjBF5, AB697142.1: Bifidobacterium sp. AcjBF6, EF187234.1: Bifidobacterium asteroides","Isolated from Apis cerana japonica, digestive tract."
AB697140.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp. AcjBF4,AcjBF4,16S ribosomal RNA,1404,"Bifidobacterium sp. AcjBF4 gene for 16S ribosomal RNA, partial sequence",2,AB697147.1: Bifidobacterium sp. AcjBF11,"Isolated from Apis cerana japonica, digestive tract."
AB697145.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp. AcjBF9,AcjBF9,16S ribosomal RNA,1361,"Bifidobacterium sp. AcjBF9 gene for 16S ribosomal RNA, partial sequence",1,,"Isolated from Apis cerana japonica, digestive tract."
HM534820.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp. Afpor11,Afpor11,16S ribosomal RNA,1397,"Bifidobacterium sp. Afpor11 16S ribosomal RNA gene, partial sequence",2,HM534826.1: Bifidobacterium sp. Thsr10,Isolated from honey bee stomach.
HM534835.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp. Alhonro1,Alhonro1,16S ribosomal RNA,1397,"Bifidobacterium sp. Alhonro1 16S ribosomal RNA gene, partial sequence",3,"HM534833.1: Bifidobacterium sp. Aahmto9, HM534834.1: Bifidobacterium sp. Adhmto10",Isolated from honey bee stomach.
HM534860.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp. Amsbbr10,Amsbbr10,16S ribosomal RNA,1040,"Bifidobacterium sp. Amsbbr10 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee stomach.
KJ741208.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp. B5,B5,16S ribosomal RNA,1447,"Bifidobacterium sp. B5 16S ribosomal RNA gene, partial sequence",30,"AB697138.1: Bifidobacterium sp. AcjBF2, EF187231.1: Bifidobacterium asteroides, EF187232.1: Bifidobacterium sp. Trm9, EF187233.1: Bifidobacterium sp. Bisn6, EF187235.1: Bifidobacterium asteroides, EF187236.1: Bifidobacterium asteroides, HM534821.1: Bifidobacterium sp. Mbobb2t2, HM534822.1: Bifidobacterium sp. Afpoto19, HM534823.1: Bifidobacterium sp. Thsr18, HM534824.1: Bifidobacterium sp. Mbpor2, HM534825.1: Bifidobacterium sp. Acbbto5, HM534827.1: Bifidobacterium sp. Achmro11, HM534828.1: Bifidobacterium sp. Mbobb2r3, HM534829.1: Bifidobacterium asteroides, HM534831.1: Bifidobacterium sp. Aahmro6, JX099559.1: Bifidobacterium sp. H1HS16N, JX099560.1: Bifidobacterium sp. H6bp9N, JX099561.1: Bifidobacterium sp. Bin2N, JX099562.1: Bifidobacterium sp. H6bp22N, JX099563.1: Bifidobacterium sp. Hma3N, JX099564.1: Bifidobacterium sp. H1HS10N, KF600227.1: Bifidobacterium sp. G5_2_2TCO2, KF600286.1: Bifidobacterium sp. G7_1_1BCO2, KF600289.1: Bifidobacterium sp. G7_1_1TCO2, KM454389.1: Bifidobacterium asteroides, KM454406.1: Bifidobacterium asteroides, KM454413.1: Bifidobacterium sp. g2-6, KM454415.1: Bifidobacterium asteroides, NR_044154.1: Bifidobacterium asteroides",Isolated from Apis cerana gut.
KF600225.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp. G5_2_2BCO2,G5_2_2BCO2,16S ribosomal RNA,1146,"Bifidobacterium sp. G5_2_2BCO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera alimentary tract hindgut.
KF600328.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp. G7_4_4BCO2,G7_4_4BCO2,16S ribosomal RNA,1330,"Bifidobacterium sp. G7_4_4BCO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera alimentary tract hindgut.
HM534832.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp. Tbbto10,Tbbto10,16S ribosomal RNA,1397,"Bifidobacterium sp. Tbbto10 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee stomach.
HM046575.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,uncultured Bifidobacterium sp.,Not Available,16S ribosomal RNA,1486,"Uncultured Bifidobacterium sp. clone ACW_P1 16S ribosomal RNA gene, partial sequence",4,"HM534815.1: Bifidobacterium sp. Anbbr2, HM534816.1: Bifidobacterium sp. Aabbto19, HM534817.1: Bifidobacterium sp. Anuhmto12",Isolated from Apis cerana indica.
KF600585.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. 3477CO2,3477CO2,16S ribosomal RNA,1241,"Corynebacterium sp. 3477CO2 16S ribosomal RNA gene, partial sequence",2,KF600574.1: Corynebacterium sp. 3453CO2,Isolated from bee bread of Apis mellifera.
HM008725.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,uncultured Corynebacterium sp.,Not Available,16S ribosomal RNA,1477,"Uncultured Corynebacterium sp. clone AMW_E5 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera mellifera midgut.
KF600425.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Corynebacteriales,Williamsiaceae,Williamsia,Williamsia sp. B3_4TCO2,B3_4TCO2,16S ribosomal RNA,1273,"Williamsia sp. B3_4TCO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600513.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Modestobacter,Modestobacter sp. 3368O2,3368O2,16S ribosomal RNA,1247,"Modestobacter sp. 3368O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600143.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Micrococcales,Bogoriellaceae,Georgenia,Georgenia ferrireducens,M3_7_2TO2,16S ribosomal RNA,1075,"Georgenia ferrireducens strain M3_7_2TO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from gut of Apis mellifera.
KF600576.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Janibacter,Janibacter sanguinis,3455CO2,16S ribosomal RNA,1229,"Janibacter sanguinis strain 3455CO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
HQ018807.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium arborescens,BUME08,16S ribosomal RNA,1378,"Microbacterium arborescens strain BUME08 16S ribosomal RNA gene, partial sequence",2,KF600436.1: Microbacterium imperiale,Isolated from Apis cerana gut.
KF600123.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium barkeri,M3_1_1_2TCO2,16S ribosomal RNA,1040,"Microbacterium barkeri strain M3_1_1_2TCO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from midgut of Apis mellifera.
KF600134.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium esteraromaticum,M3_3_4TCO2,16S ribosomal RNA,1071,"Microbacterium esteraromaticum strain M3_3_4TCO2 16S ribosomal RNA gene, partial sequence",2,KF600587.1: Microbacterium sp. 3479CO2,Isolated from midgut of Apis mellifera.
AJ971846.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. Am 05,Am 05,16S rRNA/16S ribosomal RNA,1343,"Arthrobacter sp. Am 05 partial 16S rRNA gene, isolate Am 05",1,,Isolated from gut of Apis mellifera.
AJ971854.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,Kocuria sp. / Rothia sp.*,Am 16,16S rRNA/16S ribosomal RNA,1361,"Kocuria sp. Am 16 partial 16 16S rRNA gene, isolate Am 16",1,,Isolated from gut of Apis mellifera.  ID uncertain.
KF600480.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus sp. B8_6LO2,B8_6LO2,16S ribosomal RNA,1326,"Micrococcus sp. B8_6LO2 16S ribosomal RNA gene, partial sequence",11,"JF742975.1: Micrococcus sp. U-4, KF599423.1: Micrococcus yunnanensis, KF600268.1: Micrococcus luteus, KF600296.1: Micrococcus sp. G7_2_1BCO2, KF600378.1: Micrococcus luteus, KF600396.1: Micrococcus sp. 3311O2, KF600397.1: Micrococcus sp. 3312O2, KF600398.1: Micrococcus sp. 3313O2, KF600519.1: Microbacterium sp. 3376O2, KF600521.1: Microbacterium sp. 3378O2",Isolated from bee bread of Apis mellifera.
KJ638109.1,Bacteria,undetermined,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Nesterenkonia,Nesterenkonia sp. AMHSOQ209,AMHSOQ209,16S ribosomal RNA,1141,"Nesterenkonia sp. AMHSOQ209 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera honey stomach.
